StateName,,NY,CA,IL,TX,TX,VA,PA,FL,GA,MA,AZ,CA,CA,MI,WA,MN,CA,FL,CO,MD,MO,FL,NC,TX,OR,CA,PA,OH,TX,NV,MO,OH,IN,OH,CA,TN,VA,RI,FL,WI,OK,NC,TN,VA,KY,LA,UT,CT,NY,AL,NY,MI,AZ,HI,OK,CA,MA,NE,CT,SC,NM,CA,NY,TN,LA,TX,CT,TX,PA,CA,SC,FL,SC,NC,CA,FL,ID,CO,AR,FL,OH,IA,MA,UT,WI,NC,FL,NY,UT,OH,KS,NC,GA,FL,MS,PA,WA,PA,TN,CA,PA,ME,OH,MI,AR,NC,KY,FL,CA,NV,AL,FL,LA,SC,MO,CA,TX,NC,PA,CA,CA,CA,OR,AL,PA,TX,TX,NH,IN,MS,DE,MI,IL,OH,GA,AK,TX,LA,NJ,AL,IL,FL,OR,FL,MI,FL,NC,OH,CO,IL,NE,FL,CO,WI,GA,IN,SC,CO,TX,TN,VA,IN,TN,WA,NY,MD,MN,WA,TX,NC,CA,FL,CA,TX,IA,NJ,WA,SD,CA,PA,CT,TX,TX,AL,TX,MI,VA,WV,WA,ND,NY,AR,WI,KS,GA,TX,MA,AL,WA,VT,MN,IN,IL,OR,VA,LA,NM,CA,SC,GA,AZ,MO,IL,LA,LA,IN,TN,AZ,GA,NC,SC,HI,MN,WI,OR,MI,GA,IN,CT,FL,MT,CA,NY,FL,MO,DE,CA,TN,CA,KY,UT,MI,TX,IA,AL,TX,IL,MS,WI,WI,NC,NC,IA,ID,PA,CO,VA,WI,HI,WI,MS,IN,TX,MI,PA,FL,CA,AL,PA,NJ,ID,CO,KY,MI,MI,NM,NH,LA,MI,ME,FL,CA,MO,AL,AL,KY,GA,IA,TX,TX,GA,UT,AZ,NC,PA,GA,PA,TN,VA,OH,WV,WI,CA,SD,SC,CA,OH,VA,MI,TX,KS,IL,PA,AR,ND,LA,MA,WA,NY,FL,OR,NY,OK,TN,AZ,IA,OH,VA,ME,PA,NC,NM,MO,TX,WA,KY,MI,NC,KS,NC,NY,WI,OH,MT,MT,AL,WV,PA,GA,MD,ID,TN,IN,IN,OR,ME,WA,NY,IL,VA,AZ,KY,TN,WI,NY,MN,IL,GA,MI,WI,PA,AL,MT,VA,MN,OH,OH,CA,FL,WY,AR,MI,NC,IA,MS,NC,KY,TX,GA,TN,WA,OH,MO,AL,AK,MN,MD,NJ,OR,ID,NY,OH,PA,CA,OR,WV,WV,WI,AR,OR,AL,TX,OH,PA,WA,SC,WI,PA,NY,MT,MS,AR,PA,MI,IN,PA,LA,MT,FL,AL,OK,IN,TX,WA,WI,GA,PA,IN,NY,GA,WY,NC,CO,SC,ND,NY,OH,AR,NE,WA,NY,TX,NH,UT,IL,OH,OH,KY,IL,WA,OH,PA,WI,GA,HI,FL,NM,NM,OK,NC,WI,TN,SC,FL,OR,NC,CA,NM,NC,MO,OK,IN,MN,IN,MI,NC,MI,TX,OH,WI,CA,WI,NM,WA,GA,TX,KY,OR,NC,VA,ID,ID,NH,SC,OH,NC,OK,OH,WA,NC,KS,NY,MS,NM,WY,MI,VT,TN,PA,KS,OH,MN,VT,OH,NY,MS,OH,NY,OK,TX,IA,IL,NV,NV,TX,GA,NC,NE,WV,OR,SC,MS,IL,MO,UT,GA,MS,IN,CO,CO,NC,CA,OH,AR,OH,NV,KY,KY,GA,NC,MO,NY,MO,MO,NC,AZ,TN,AL,OH,AL,GA,TX,OK,WI,TX,OH,IL,GA,PA,IA,TX,IL,NV,TX,MN,OR,LA,TN,NY,AL,TX,NV,LA,CO,LA,IN,NM,NE,MI,LA,OH,WA,NY,TX,ID,MN,AZ,OK,IN,CO,NY,KY,IA,ID,KY,OH,IN,PA,MN,OH,IN,ID,OK,GA,LA,GA,MI,GA,AR,MS,IA,KY,WI,WI,MS,IN,NC,IL,AR,MO,MI,NC,PA,WA,OK,TN,OK,TX,MN,NC,IA,PA,IN,OK,MO,GA,NC,SD,WY,KS,TX,OH,OH,OH,MI,TX,AR,TX,GA,AR,TN,OR,PA,NM,MS,VA,IA,MI,MN,PA,MO,FL,MI,ID,FL,WY,AR,AL,KS,MO,PA,MN,OH,MS,OH,ND,OH,MO,AZ,IL,OK,TX,IN,IN,NE,LA,SC,PA,IL,MD,MN,IL,WY,KY,NE,VT,MI,KY,TN,MI,KY,NC,TX,MN,OH,IN,LA,IN,TX,NE,IN,IL,MO,TN,IN,GA,TX,UT,IA,MT,MS,MS,KS,WY,TX,IL,KS,SD,IN,IL,NC,NM,SD,GA,NE,IL,FL,TN,NY,ND,IN,AL,AR,IN,IN,NC,CA,TN,TX,TN,OH,MD,TN,AK,KS,NM,NH,MS,NE,TX,TX,IN,CO,MN,WY,TN,OK,MI,GA,KS,MO,MI,GA,MI,OH,KS,CO,OH,MO,OK,ID,TX,IL,NM,WV,IL,AR,CA,IN,GA,NM,SC,TX,GA,OR,IN,MS,OR,KS,MN,NE,KS,SD,FL,MN,NM,MO,NV,OK,TX,ID,CO,GA,MO,KY,OK,OR,OR,AR,IN,SD,MO,OR,SD,ND,AR,OK,KS,MN,IA,TX,MS,CO,NE,ND,TX,MS,MO,AR,TX,OK,TX,SD,SD,IA,GA,WY,TX,TX,WA,MA,KS,UT,NM,NM,TX,TX,IA,GA,NV,KY,TX,AR,IA,KS,IA,SD,TX,TX,TX,AK,CO,TX,TX
RegionID,102001,394913,753899,394463,394514,394692,395209,394974,394856,394347,394404,394976,395057,395025,394532,395078,394865,395056,395148,394530,394358,395121,394943,394458,395055,394998,395045,394982,394466,394355,394775,394735,394492,394705,394475,395059,394902,395194,395005,394714,394862,394935,395012,394849,395022,394807,394910,395053,394669,394425,394388,395031,394640,395167,753924,395169,394619,395238,394938,394415,394653,394312,394357,394308,394753,394367,394843,394908,394561,394318,394952,394486,753906,394457,394648,395134,394440,394399,394484,394798,394766,394304,394531,395115,394931,394816,395235,394528,395143,395006,395160,395224,394549,394352,394957,394711,394666,395113,395075,394460,394871,394768,394997,395245,394770,394590,394589,394792,394971,395068,395019,394698,394995,394761,394898,395116,395195,394746,394338,395244,395183,753917,395050,395048,394870,395015,394502,394421,394820,394612,394658,395051,394596,394972,394439,395070,394327,394372,395096,395164,394875,394520,395146,394576,394901,394332,394927,394679,394697,394602,395033,394796,394622,394405,394646,394488,395107,395109,394645,394808,394471,395028,394579,394747,394741,395179,394660,394543,394937,394803,395229,395061,753875,394851,395197,394447,394348,394412,395103,395065,394572,394924,394323,394772,395171,394483,394732,394811,394455,395240,394585,394387,394609,394334,395161,394813,395174,394361,394519,394378,394429,395030,753895,394454,394848,394459,394763,394773,394464,394681,394346,394765,394485,395114,394691,394872,394565,394726,395247,394623,394716,394597,394680,395118,395011,394380,395047,395202,395151,395162,395009,394386,395018,394748,394960,394729,394539,394559,394712,395246,394406,395119,394896,394299,394707,394351,394860,753869,394671,394944,394555,394651,394428,395210,394480,394553,395007,394392,395215,394731,394720,395170,394393,394930,394710,395125,395079,394814,394523,394453,395193,394703,394639,394563,394917,394873,395066,394493,394314,395163,394359,394685,394662,394723,394598,394537,394802,394306,395102,395223,395152,395182,394800,394595,395036,395000,394515,394783,394880,395232,395221,394879,394756,394900,395013,395139,394577,395117,394668,394368,395094,394821,394442,394727,394728,394390,394661,394983,394890,394719,395153,394307,394633,394780,394474,395098,394325,394824,395128,394353,394321,394905,394588,395120,395054,395218,394949,753890,394810,394778,394635,395213,395089,395217,394867,394407,394333,394374,395225,394423,753872,395173,394495,394893,394857,395039,394788,394804,394932,394734,394396,395095,395023,395168,395222,394709,394637,394524,394762,394369,394599,394630,394620,394733,394518,394823,394794,753915,395166,395080,394462,394689,394302,395090,394542,394852,753912,394953,395190,395038,395086,394882,394340,394441,394311,394580,394410,394513,394928,394505,394988,394501,394911,395140,395175,753887,394469,394964,394373,394980,394641,394511,394809,395248,394907,394925,394942,395212,394847,394568,394644,394776,395042,394704,394859,394755,394395,394941,394675,394744,395145,395133,394489,394345,394452,394822,394682,394541,395205,394986,395126,394445,395231,753881,395085,394866,394936,394465,395077,394638,394994,394350,394699,394738,394674,395010,395062,394593,394614,394516,394298,394999,395106,753928,753893,394736,394955,394626,394683,395088,394884,395132,394647,394655,394764,394752,394877,394472,394305,395027,394587,394897,394826,394586,395021,394829,394922,394885,395024,394827,394360,395016,394825,395040,395092,394540,394899,395105,394496,394600,394836,395020,394787,394759,394629,394343,395063,394570,394889,395199,394309,394701,394693,395124,394443,394631,395136,395044,394509,395071,395049,753903,394591,394362,394618,394939,394490,394923,394365,394336,394956,394605,394456,394592,394444,394551,394432,753877,394737,394582,394940,394621,394977,395131,394411,394446,395216,394951,394721,394556,394547,394750,753920,395157,394366,394989,394566,394517,394632,395122,394402,395204,394634,394604,394993,394562,394967,394344,394571,394339,395073,394861,394742,394363,394985,394503,394652,395029,394538,394933,394838,394717,394625,394954,394963,395234,753905,394878,395091,394326,753911,394316,394628,394608,394437,394903,394906,394478,394919,394431,395043,395097,395008,394819,394527,394391,395017,394918,395144,394739,394876,394504,394887,394477,753916,753865,395201,394987,394789,394379,394377,395087,394426,394548,394883,394398,394500,753889,395155,394961,394650,394427,394817,394850,753918,395189,394375,395208,394616,394667,395037,394482,753904,394695,394567,394990,394779,394842,394886,395228,395034,394895,394785,394349,394545,395081,394448,394677,394297,395032,394627,395129,394449,395230,394424,394319,394558,394891,394624,395158,394397,394845,394341,394409,394574,394844,753866,394833,394384,394354,395082,395219,394934,394690,394881,394476,395026,394560,395083,394981,394663,395203,394315,395178,394654,394434,395227,394526,395099,395046,394715,394300,394422,394507,394801,395072,394904,394914,394799,394451,394554,394948,394888,394771,394894,394617,394382,395069,394436,394550,394573,394840,394745,395137,394702,394506,394696,394522,395192,394370,394920,394973,394992,394781,394915,394525,395191,394413,395187,394947,394430,394499,394417,394569,394713,394385,394557,394536,395211,394331,394535,394777,395149,394419,394324,394491,395150,394335,394786,395084,394533,395207,395165,753902,394613,394815,394414,395141,394835,394984,753878,753892,394433,394962,394730,394481,394774,394383,394473,394670,394376,394749,395196,753871,394310,395093,395176,394855,394708,394725,394846,394751,753901,394356,394320,395206,394673,394606,395185,394740,753926,394892,394864,394795,395100,753879,394812,394435,394508,394921,395154,394642,394381,394615,395159,753923,394649,394706,394758,753909,394912,394791,394643,395110,395214,394830,394529,394854,394584,394322,395181,753884,753921,395138,394869,394858,395236,395004,394687,394601,394494,394868,394831,394418,395241,395198,394818,394564,394793,395239,394945,394959,394470,395130,394371,394718,394784,394656,394837,394337,394544,394659,394403,394979,394700,395135,394498,394578,395014,753914,753908,753925,394965,395003,394996,394805,394678,394330,395112,394594,753927,394841,395104,394676,395111,394342,753880,395186,395142,394968,753929,394743,753874,395188,394767
RegionName,United States,"New York, NY","Los Angeles, CA","Chicago, IL","Dallas, TX","Houston, TX","Washington, DC","Philadelphia, PA","Miami, FL","Atlanta, GA","Boston, MA","Phoenix, AZ","San Francisco, CA","Riverside, CA","Detroit, MI","Seattle, WA","Minneapolis, MN","San Diego, CA","Tampa, FL","Denver, CO","Baltimore, MD","St. Louis, MO","Orlando, FL","Charlotte, NC","San Antonio, TX","Portland, OR","Sacramento, CA","Pittsburgh, PA","Cincinnati, OH","Austin, TX","Las Vegas, NV","Kansas City, MO","Columbus, OH","Indianapolis, IN","Cleveland, OH","San Jose, CA","Nashville, TN","Virginia Beach, VA","Providence, RI","Jacksonville, FL","Milwaukee, WI","Oklahoma City, OK","Raleigh, NC","Memphis, TN","Richmond, VA","Louisville, KY","New Orleans, LA","Salt Lake City, UT","Hartford, CT","Buffalo, NY","Birmingham, AL","Rochester, NY","Grand Rapids, MI","Tucson, AZ","Urban Honolulu, HI","Tulsa, OK","Fresno, CA","Worcester, MA","Omaha, NE","Bridgeport, CT","Greenville, SC","Albuquerque, NM","Bakersfield, CA","Albany, NY","Knoxville, TN","Baton Rouge, LA","McAllen, TX","New Haven, CT","El Paso, TX","Allentown, PA","Oxnard, CA","Columbia, SC","North Port, FL","Charleston, SC","Greensboro, NC","Stockton, CA","Cape Coral, FL","Boise City, ID","Colorado Springs, CO","Little Rock, AR","Lakeland, FL","Akron, OH","Des Moines, IA","Springfield, MA","Ogden, UT","Madison, WI","Winston, NC","Deltona, FL","Syracuse, NY","Provo, UT","Toledo, OH","Wichita, KS","Durham, NC","Augusta, GA","Palm Bay, FL","Jackson, MS","Harrisburg, PA","Spokane, WA","Scranton, PA","Chattanooga, TN","Modesto, CA","Lancaster, PA","Portland, ME","Youngstown, OH","Lansing, MI","Fayetteville, AR","Fayetteville, NC","Lexington, KY","Pensacola, FL","Santa Rosa, CA","Reno, NV","Huntsville, AL","Port St. Lucie, FL","Lafayette, LA","Myrtle Beach, SC","Springfield, MO","Visalia, CA","Killeen, TX","Asheville, NC","York, PA","Vallejo, CA","Santa Maria, CA","Salinas, CA","Salem, OR","Mobile, AL","Reading, PA","Corpus Christi, TX","Brownsville, TX","Manchester, NH","Fort Wayne, IN","Gulfport, MS","Salisbury, MD","Flint, MI","Peoria, IL","Canton, OH","Savannah, GA","Anchorage, AK","Beaumont, TX","Shreveport, LA","Trenton, NJ","Montgomery, AL","Davenport, IA","Tallahassee, FL","Eugene, OR","Naples, FL","Ann Arbor, MI","Ocala, FL","Hickory, NC","Huntington, WV","Fort Collins, CO","Rockford, IL","Lincoln, NE","Gainesville, FL","Boulder, CO","Green Bay, WI","Columbus, GA","South Bend, IN","Spartanburg, SC","Greeley, CO","Lubbock, TX","Clarksville, TN","Roanoke, VA","Evansville, IN","Kingsport, TN","Kennewick, WA","Utica, NY","Hagerstown, MD","Duluth, MN","Olympia, WA","Longview, TX","Wilmington, NC","San Luis Obispo, CA","Crestview, FL","Merced, CA","Waco, TX","Cedar Rapids, IA","Atlantic City, NJ","Bremerton, WA","Sioux Falls, SD","Santa Cruz, CA","Erie, PA","Norwich, CT","Amarillo, TX","Laredo, TX","Tuscaloosa, AL","College Station, TX","Kalamazoo, MI","Lynchburg, VA","Charleston, WV","Yakima, WA","Fargo, ND","Binghamton, NY","Fort Smith, AR","Appleton, WI","Topeka, KS","Macon, GA","Tyler, TX","Barnstable Town, MA","Daphne, AL","Bellingham, WA","Burlington, VT","Rochester, MN","Lafayette, IN","Champaign, IL","Medford, OR","Charlottesville, VA","Lake Charles, LA","Las Cruces, NM","Chico, CA","Hilton Head Island, SC","Athens, GA","Lake Havasu City, AZ","Columbia, MO","Springfield, IL","Houma, LA","Monroe, LA","Elkhart, IN","Johnson City, TN","Yuma, AZ","Gainesville, GA","Jacksonville, NC","Florence, SC","Hilo, HI","St. Cloud, MN","Racine, WI","Bend, OR","Saginaw, MI","Warner Robins, GA","Terre Haute, IN","Torrington, CT","Punta Gorda, FL","Billings, MT","Redding, CA","Kingston, NY","Panama City, FL","Joplin, MO","Dover, DE","El Centro, CA","Jackson, TN","Yuba City, CA","Bowling Green, KY","St. George, UT","Muskegon, MI","Abilene, TX","Iowa City, IA","Auburn, AL","Midland, TX","Bloomington, IL","Hattiesburg, MS","Oshkosh, WI","Eau Claire, WI","Greenville, NC","Burlington, NC","Waterloo, IA","Coeur d'Alene, ID","East Stroudsburg, PA","Pueblo, CO","Blacksburg, VA","Wausau, WI","Kahului, HI","Janesville, WI","Tupelo, MS","Bloomington, IN","Odessa, TX","Jackson, MI","State College, PA","Sebastian, FL","Madera, CA","Decatur, AL","Chambersburg, PA","Vineland, NJ","Idaho Falls, ID","Grand Junction, CO","Elizabethtown, KY","Niles, MI","Monroe, MI","Santa Fe, NM","Concord, NH","Alexandria, LA","Traverse City, MI","Bangor, ME","Homosassa Springs, FL","Hanford, CA","Jefferson City, MO","Florence, AL","Dothan, AL","London, KY","Albany, GA","Sioux City, IA","Wichita Falls, TX","Texarkana, TX","Valdosta, GA","Logan, UT","Flagstaff, AZ","Rocky Mount, NC","Pottsville, PA","Dalton, GA","Lebanon, PA","Morristown, TN","Winchester, VA","Wheeling, WV","Morgantown, WV","La Crosse, WI","Napa, CA","Rapid City, SD","Sumter, SC","Eureka, CA","Springfield, OH","Harrisonburg, VA","Battle Creek, MI","Sherman, TX","Manhattan, KS","Carbondale, IL","Johnstown, PA","Jonesboro, AR","Bismarck, ND","Hammond, LA","Pittsfield, MA","Mount Vernon, WA","Jamestown, NY","The Villages, FL","Albany, OR","Glens Falls, NY","Lawton, OK","Cleveland, TN","Sierra Vista, AZ","Ames, IA","Mansfield, OH","Staunton, VA","Augusta, ME","Altoona, PA","New Bern, NC","Farmington, NM","St. Joseph, MO","San Angelo, TX","Wenatchee, WA","Owensboro, KY","Holland, MI","Lumberton, NC","Lawrence, KS","Goldsboro, NC","Watertown, NY","Sheboygan, WI","Weirton, WV","Missoula, MT","Bozeman, MT","Anniston, AL","Beckley, WV","Williamsport, PA","Brunswick, GA","California, MD","Twin Falls, ID","Cookeville, TN","Muncie, IN","Michigan City, IN","Roseburg, OR","Lewiston, ME","Longview, WA","Ogdensburg, NY","Kankakee, IL","Bluefield, WV","Show Low, AZ","Richmond, KY","Tullahoma, TN","Whitewater, WI","Ithaca, NY","Grand Forks, ND","Decatur, IL","LaGrange, GA","Bay City, MI","Fond du Lac, WI","Gettysburg, PA","Gadsden, AL","Kalispell, MT","Danville, VA","Mankato, MN","Lima, OH","Salem, OH","Truckee, CA","Sebring, FL","Cheyenne, WY","Hot Springs, AR","Adrian, MI","Shelby, NC","Dubuque, IA","Meridian, MS","Pinehurst, NC","Paducah, KY","Victoria, TX","Rome, GA","Sevierville, TN","Moses Lake, WA","Ashtabula, OH","Cape Girardeau, MO","Albertville, AL","Fairbanks, AK","Brainerd, MN","Cumberland, MD","Ocean City, NJ","Corvallis, OR","Pocatello, ID","Corning, NY","New Philadelphia, OH","Sunbury, PA","Ukiah, CA","Hermiston, OR","Clarksburg, WV","Parkersburg, WV","Beaver Dam, WI","Pine Bluff, AR","Grants Pass, OR","Cullman, AL","Lufkin, TX","Zanesville, OH","New Castle, PA","Oak Harbor, WA","Orangeburg, SC","Watertown, WI","Meadville, PA","Elmira, NY","Great Falls, MT","Laurel, MS","Russellville, AR","Indiana, PA","Midland, MI","Kokomo, IN","Bloomsburg, PA","Opelousas, LA","Helena, MT","Key West, FL","Talladega, AL","Stillwater, OK","Columbus, IN","Athens, TX","Centralia, WA","Manitowoc, WI","Hinesville, GA","DuBois, PA","Warsaw, IN","Plattsburgh, NY","Statesboro, GA","Casper, WY","Wilson, NC","Glenwood Springs, CO","Seneca, SC","Minot, ND","Olean, NY","Chillicothe, OH","Searcy, AR","Grand Island, NE","Port Angeles, WA","Auburn, NY","Huntsville, TX","Keene, NH","Heber, UT","Quincy, IL","Sandusky, OH","Findlay, OH","Frankfort, KY","Danville, IL","Aberdeen, WA","Portsmouth, OH","Somerset, PA","Wisconsin Rapids, WI","Jefferson, GA","Kapaa, HI","Palatka, FL","Gallup, NM","Hobbs, NM","Shawnee, OK","Mount Airy, NC","Stevens Point, WI","Greeneville, TN","Greenwood, SC","Lake City, FL","Klamath Falls, OR","Morehead City, NC","Clearlake, CA","Alamogordo, NM","Roanoke Rapids, NC","Farmington, MO","Muskogee, OK","Marion, IN","Faribault, MN","Richmond, IN","Marquette, MI","North Wilkesboro, NC","Mount Pleasant, MI","Rio Grande City, TX","Marion, OH","Baraboo, WI","Red Bluff, CA","Marinette, WI","Roswell, NM","Shelton, WA","Dublin, GA","Nacogdoches, TX","Somerset, KY","Coos Bay, OR","Forest City, NC","Martinsville, VA","Rexburg, ID","Lewiston, ID","Laconia, NH","Georgetown, SC","Athens, OH","Sanford, NC","Enid, OK","Mount Vernon, OH","Walla Walla, WA","Albemarle, NC","Hutchinson, KS","Hudson, NY","Starkville, MS","Carlsbad, NM","Gillette, WY","Sturgis, MI","Rutland, VT","Crossville, TN","Sayre, PA","Salina, KS","Marietta, OH","Fergus Falls, MN","Barre, VT","Fremont, OH","Oneonta, NY","Columbus, MS","Norwalk, OH","Batavia, NY","Ardmore, OK","Palestine, TX","Fort Madison, IA","Charleston, IL","Fernley, NV","Carson City, NV","Eagle Pass, TX","Calhoun, GA","Cullowhee, NC","Kearney, NE","Fairmont, WV","Ontario, OR","Gaffney, SC","Picayune, MS","Sterling, IL","Branson, MO","Cedar City, UT","Waycross, GA","Oxford, MS","Jasper, IN","Edwards, CO","Durango, CO","Kinston, NC","Sonora, CA","Tiffin, OH","Batesville, AR","Point Pleasant, WV","Elko, NV","Danville, KY","Glasgow, KY","St. Marys, GA","Boone, NC","Warrensburg, MO","Gloversville, NY","Fort Leonard Wood, MO","Poplar Bluff, MO","Elizabeth City, NC","Payson, AZ","Athens, TN","Enterprise, AL","Ashland, OH","Scottsboro, AL","Milledgeville, GA","Kerrville, TX","Bartlesville, OK","Platteville, WI","Corsicana, TX","Greenville, OH","Rochelle, IL","Douglas, GA","Oil City, PA","Mason City, IA","Jacksonville, TX","Galesburg, IL","Pahrump, NV","Paris, TX","Winona, MN","Newport, OR","Morgan City, LA","Shelbyville, TN","Amsterdam, NY","Ozark, AL","Alice, TX","Gardnerville Ranchos, NV","Fort Polk South, LA","Ca-¦on City, CO","Natchez, MS","New Castle, IN","Clovis, NM","Norfolk, NE","Cadillac, MI","Ruston, LA","Sidney, OH","Pullman, WA","Malone, NY","Del Rio, TX","Blackfoot, ID","Red Wing, MN","Nogales, AZ","Tahlequah, OK","Kendallville, IN","Montrose, CO","Cortland, NY","Mount Sterling, KY","Clinton, IA","Sandpoint, ID","Bardstown, KY","Wapakoneta, OH","Plymouth, IN","Lewistown, PA","Bemidji, MN","Bellefontaine, OH","Seymour, IN","Burley, ID","Durant, OK","Moultrie, GA","Bogalusa, LA","Cornelia, GA","Hillsdale, MI","Thomasville, GA","Paragould, AR","Greenville, MS","Burlington, IA","Madisonville, KY","Menomonie, WI","Shawano, WI","Vicksburg, MS","Bedford, IN","Washington, NC","Freeport, IL","Harrison, AR","Rolla, MO","Coldwater, MI","Marion, NC","Huntingdon, PA","Ellensburg, WA","Ponca City, OK","Lawrenceburg, TN","McAlester, OK","Mount Pleasant, TX","Willmar, MN","Rockingham, NC","Muscatine, IA","Lewisburg, PA","Auburn, IN","Duncan, OK","Sedalia, MO","Cedartown, GA","Henderson, NC","Aberdeen, SD","Rock Springs, WY","Garden City, KS","Stephenville, TX","Celina, OH","Wilmington, OH","Bucyrus, OH","Alma, MI","El Campo, TX","Mountain Home, AR","Gainesville, TX","Tifton, GA","Blytheville, AR","McMinnville, TN","Astoria, OR","Bradford, PA","Espa-¦ola, NM","McComb, MS","Big Stone Gap, VA","Marshalltown, IA","Big Rapids, MI","Austin, MN","Selinsgrove, PA","West Plains, MO","Okeechobee, FL","Houghton, MI","Moscow, ID","Clewiston, FL","Riverton, WY","El Dorado, AR","Selma, AL","Pittsburg, KS","Hannibal, MO","Warren, PA","Alexandria, MN","Urbana, OH","Greenwood, MS","Cambridge, OH","Williston, ND","Defiance, OH","Sikeston, MO","Safford, AZ","Jacksonville, IL","Ada, OK","Brownwood, TX","Crawfordsville, IN","Logansport, IN","Scottsbluff, NE","Natchitoches, LA","Newberry, SC","Lock Haven, PA","Centralia, IL","Easton, MD","Owatonna, MN","Mount Vernon, IL","Laramie, WY","Murray, KY","Fremont, NE","Bennington, VT","Sault Ste. Marie, MI","Campbellsville, KY","Dyersburg, TN","Escanaba, MI","Mayfield, KY","Kill Devil Hills, NC","Sulphur Springs, TX","Hutchinson, MN","Coshocton, OH","Huntington, IN","DeRidder, LA","Vincennes, IN","Bay City, TX","North Platte, NE","Peru, IN","Pontiac, IL","Lebanon, MO","Newport, TN","Decatur, IN","Vidalia, GA","Brenham, TX","Vernal, UT","Ottumwa, IA","Butte, MT","Corinth, MS","Brookhaven, MS","Emporia, KS","Jackson, WY","Big Spring, TX","Effingham, IL","Dodge City, KS","Watertown, SD","Angola, IN","Dixon, IL","Laurinburg, NC","Taos, NM","Brookings, SD","Americus, GA","Columbus, NE","Taylorville, IL","Arcadia, FL","Lewisburg, TN","Seneca Falls, NY","Dickinson, ND","Washington, IN","Troy, AL","Malvern, AR","Frankfort, IN","Madison, IN","Brevard, NC","Susanville, CA","Martin, TN","Plainview, TX","Dayton, TN","Jackson, OH","Cambridge, MD","Paris, TN","Juneau, AK","Coffeyville, KS","Las Vegas, NM","Berlin, NH","Cleveland, MS","Hastings, NE","Beeville, TX","Kingsville, TX","Wabash, IN","Breckenridge, CO","Albert Lea, MN","Sheridan, WY","Union City, TN","Miami, OK","Iron Mountain, MI","Jesup, GA","McPherson, KS","Kirksville, MO","Ludington, MI","Bainbridge, GA","Alpena, MI","Washington Court House, OH","Hays, KS","Fort Morgan, CO","Van Wert, OH","Kennett, MO","Weatherford, OK","Mountain Home, ID","Mineral Wells, TX","Lincoln, IL","Silver City, NM","Elkins, WV","Macomb, IL","Camden, AR","Crescent City, CA","North Vernon, IN","Thomaston, GA","Grants, NM","Bennettsville, SC","Fredericksburg, TX","Toccoa, GA","The Dalles, OR","Greensburg, IN","Indianola, MS","La Grande, OR","Ottawa, KS","New Ulm, MN","Lexington, NE","Great Bend, KS","Spearfish, SD","Wauchula, FL","Marshall, MN","Deming, NM","Mexico, MO","Fallon, NV","Altus, OK","Uvalde, TX","Hailey, ID","Steamboat Springs, CO","Summerville, GA","Moberly, MO","Middlesborough, KY","Woodward, OK","Prineville, OR","Hood River, OR","Forrest City, AR","Connersville, IN","Mitchell, SD","Marshall, MO","Brookings, OR","Yankton, SD","Wahpeton, ND","Magnolia, AR","Elk City, OK","Liberal, KS","Worthington, MN","Oskaloosa, IA","Pampa, TX","Clarksdale, MS","Sterling, CO","Beatrice, NE","Jamestown, ND","Levelland, TX","Grenada, MS","Maryville, MO","Arkadelphia, AR","Dumas, TX","Guymon, OK","Borger, TX","Pierre, SD","Huron, SD","Storm Lake, IA","Cordele, GA","Evanston, WY","Raymondville, TX","Port Lavaca, TX","Othello, WA","Vineyard Haven, MA","Parsons, KS","Price, UT","Portales, NM","Los Alamos, NM","Hereford, TX","Andrews, TX","Spirit Lake, IA","Fitzgerald, GA","Winnemucca, NV","Maysville, KY","Snyder, TX","Helena, AR","Spencer, IA","Atchison, KS","Fairfield, IA","Vermillion, SD","Sweetwater, TX","Pecos, TX","Zapata, TX","Ketchikan, AK","Craig, CO","Vernon, TX","Lamesa, TX"
